@relation SMILEfeatures

@attribute sexo {m,f}
@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute F0final_sma_linregc2 numeric
@attribute F0final_sma_de_percentile99.0 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_quartile3 numeric
@attribute mfcc_sma[11]_quartile2 numeric
@attribute mfcc_sma[11]_quartile1 numeric
@attribute voicingFinalUnclipped_sma_quartile3 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute F0final_sma_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_amean numeric
@attribute F0final_sma_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[14]_linregc2 numeric
@attribute mfcc_sma[14]_quartile2 numeric
@attribute mfcc_sma[14]_quartile3 numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute mfcc_sma[12]_quartile2 numeric

@data
m,158.7238,128.8366,183.7449,146.4528,169.478,181.1324,175.6611,191.3563,124.4684,552.0029,0.379953,0.837346,609.1354,149.3275,123.7794,-11.1238,-2.943513,-11.66294,-19.26642,0.790781,-9.739895,104.4877,-14.79028,26.54898,-4.073782,10781.33,-7.867939,0.025801,-6.09165,-4.206705,1.984108,-12.3515,-16.92069,-41.8627,-8.42257
m,75.31651,75.19933,103.7301,75.4675,75.20982,82.01839,175.8272,82.67909,49.99268,591.9138,0.743622,0.743622,400.2903,99.97825,40.22998,6.863006,17.98849,6.793888,-4.973201,0.712784,-1.24911,64.16629,0.691695,48.11334,5.063052,3909.769,-5.573524,0.040505,6.453709,5.244215,12.08459,-5.083259,-14.43793,-25.44827,-4.044198
m,152.1246,142.0771,154.5482,147.9819,143.5102,160.6541,153.1193,160.7264,136.2113,237.6214,0.440073,0.818511,185.015,149.2861,42.43937,5.547654,13.23177,5.359891,-3.158214,0.79117,-8.487494,32.29671,-1.191408,41.88649,-3.388744,1031.874,-9.918758,0.028387,-3.161575,-2.904954,2.352699,-13.30292,-18.7502,-16.16341,-7.579413
f,220.5944,184.2816,210.627,206.1711,198.6846,235.3083,179.8619,245.0757,181.3319,274.2962,0.874682,0.874682,280.2002,181.816,61.39906,-9.416378,-0.600897,-10.01576,-17.85146,0.815272,-16.02853,51.5874,-4.524617,15.19563,-10.14117,2565.567,-2.478921,0.015032,-9.301218,-10.73908,-3.098684,-0.194547,-10.49791,-32.45554,-1.85023
m,157.7621,143.6134,167.5437,151.06,157.4623,176.8562,149.0076,175.9584,133.2747,317.1458,0.569916,0.793413,290.4295,140.0782,69.49258,8.841491,21.40861,7.348457,-1.403567,0.769904,-14.91421,54.63789,5.719934,47.13549,-6.051831,2883.699,-14.65683,0.023424,1.356025,-5.919075,2.610178,-14.24817,-21.50131,-23.89606,-14.31772
f,167.8504,147.9451,166.7149,161.6861,153.4523,173.315,186.4465,185.2722,133.1551,209.9024,0.846272,0.846272,213.7948,162.5723,51.44048,5.030648,12.96605,6.027229,-3.491479,0.775232,-15.23128,35.47881,4.43526,22.35423,-9.319771,1230.702,-4.134822,0.016446,-13.52071,-8.991174,-3.238012,-4.230499,-9.647552,-14.0513,-3.355993
f,197.6779,177.7239,194.5903,194.6986,179.3493,215.2728,207.3779,218.1608,158.0681,231.1921,0.826433,0.826433,233.3256,189.6302,60.14909,-16.34312,-3.593632,-14.32743,-25.4322,0.792409,-13.82322,47.11309,-25.81544,7.957689,-9.143665,2184.126,2.357434,0.01904,-10.67246,-7.406543,-3.54992,9.30245,-5.825745,-58.4972,1.32621
f,0,0,13.17554,262.7651,219.2716,263.0547,-23.94979,0,197.3951,263.4363,0.533363,0.755051,263.3503,137.9802,70.17944,-2.035114,5.197922,0.176688,-6.948152,0.598403,-8.317049,66.8246,7.140004,13.62183,-2.480886,1381.663,6.116744,0.025768,0.87032,-1.399852,3.843443,7.134871,2.929486,-32.06422,5.728179
f,144.0229,140.0607,150.0332,142.2267,134.7382,155.8433,139.4196,157.7059,135.9843,182.1505,0.597784,0.821558,184.5218,125.9175,42.25896,-15.75136,-4.596451,-15.44141,-27.99087,0.785736,-19.64484,35.2005,-17.73318,24.47351,-11.29268,1212.921,7.82647,0.033203,-16.04268,-11.26154,-3.755996,16.96819,-3.41445,-49.415,7.404798
f,192.8538,185.4698,185.1408,188.1586,160.3561,198.4416,195.5127,199.8137,131.3546,217.2318,0.810704,0.810704,218.659,175.9932,56.47899,-3.230737,4.405808,-1.677788,-9.256495,0.762674,-8.638329,58.00735,-4.642669,18.7332,-4.18286,3282.469,1.780899,0.014524,-4.387292,-4.053522,1.116762,-5.43341,-5.638023,-36.2905,1.807128
m,132.4836,115.3,143.9816,123.1162,123.995,136.9958,115.491,159.8326,102.4434,254.805,0.55791,0.793463,260.2275,103.1614,45.45786,-19.1811,-9.092633,-20.02345,-27.61979,0.766503,-11.6419,48.85519,-18.78951,4.549937,-5.365821,2240.882,-14.56795,0.025587,-9.067878,-4.06097,1.639853,-12.04599,-22.75529,-49.63137,-14.57934
f,170.6346,156.83,170.0523,170.1118,169.6235,185.6014,157.4357,180.8188,156.9349,241.7484,0.845696,0.845696,246.1245,161.296,51.37375,-8.4478,2.73886,-6.471448,-17.41506,0.801217,-8.912505,40.73824,-9.217463,18.06894,-5.497685,1636.278,3.277822,0.01681,-6.695498,-5.07424,-0.397731,4.721078,-2.274584,-44.24126,3.24345
m,97.95034,93.90125,98.34513,93.94312,82.97585,102.4471,104.9622,102.2945,64.4707,115.5682,0.763608,0.763608,117.7937,90.49256,28.19226,0.46102,8.344021,0.57563,-6.510843,0.721275,12.67071,27.1212,-1.623587,23.33365,17.62032,716.4796,-4.065632,0.027683,19.21043,18.32035,23.94466,-1.432151,-12.06884,-26.61992,-5.127928
f,176.3977,152.7889,167.1134,160.3321,148.2176,175.3618,195.3255,184.6374,132.9835,191.4379,0.799197,0.799197,187.8218,147.4477,49.51626,-0.222124,5.063544,-0.387569,-5.44287,0.746268,-13.45637,37.78481,-2.385585,17.99264,-6.153051,1427.491,0.709543,0.022059,-16.18675,-5.097438,2.748636,-3.694177,-4.776804,-18.43749,0.214265
m,117.3246,113.2422,114.4914,114.0199,95.81842,118.8502,108.2651,117.3246,79.61278,119.1475,0.728265,0.728265,120.328,113.4955,32.0833,4.543574,11.34326,4.519669,-2.197904,0.638209,-7.001348,30.48697,4.378955,25.98626,-2.301974,815.3758,-8.225507,0.02488,-0.989998,-2.204961,2.204235,-13.21323,-15.48362,-17.35161,-7.336722
f,215.0805,189.7139,215.9864,193.8117,192.0729,227.8444,265.325,233.8187,169.0089,323.8284,0.608247,0.850446,328.0544,255.9828,63.2813,-31.63276,-22.30481,-30.47723,-39.84803,0.806725,-20.41034,67.09542,-34.49467,-9.314711,-13.03201,3129.709,4.381321,0.022659,-11.90925,-12.34403,-5.419095,2.9124,-3.133947,-64.78964,3.512435
m,121.7706,113.2539,123.1925,115.9192,105.5683,127.399,119.9666,136.8014,82.27921,151.1727,0.760483,0.760483,153.1436,99.66759,40.26507,7.320441,16.14932,6.894837,-1.543444,0.730042,-8.053956,34.80983,4.811452,30.77322,-3.047399,1199.968,-8.060649,0.024405,-3.3805,-3.892655,1.785379,-6.711715,-13.99032,-16.41123,-7.413996
f,196.8121,188.6973,193.8953,188.6361,165.7548,202.0137,204.6414,205.2999,134.7406,211.3663,0.80977,0.80977,211.8359,187.375,56.39116,-2.030868,6.82339,-1.300531,-10.87467,0.748927,-8.647207,48.67014,-12.02122,20.99218,-2.725433,2210.395,-0.154151,0.017025,-4.447764,-2.461143,3.409346,-7.200047,-5.701706,-28.53547,1.561827
m,128.4452,121.4576,143.0063,125.4218,132.9661,178.8422,129.1654,173.4663,110.5974,191.433,0.433044,0.818566,225.0874,112.572,43.54321,-8.992826,1.549226,-8.077764,-19.11391,0.762293,-13.645,48.7607,-16.20273,11.8629,-6.74906,2237.671,-14.16961,0.025429,-7.71559,-7.843553,1.392896,-11.45291,-20.2466,-32.06548,-13.61316
f,198.2188,189.698,197.6226,198.3824,186.5199,208.3186,193.7655,204.6556,186.2983,230.2893,0.263943,0.836132,231.2632,194.4057,57.53415,-17.02745,-11.88272,-17.07815,-22.96436,0.814237,-17.20875,41.28827,-15.84553,1.290815,-12.5845,1683.839,1.852407,0.009238,-11.96578,-12.43528,-8.429438,4.70981,-5.095086,-37.21836,3.812664
f,165.0134,136.577,162.7758,143.2111,147.9129,188.2627,140.1924,190.4375,126.3204,226.1822,0.820476,0.820476,236.3369,140.2232,56.10986,-10.2034,0.071803,-9.036798,-18.27903,0.772017,-19.64413,46.51238,-10.62473,15.91358,-14.05701,2143.505,-4.070781,0.020465,-17.50955,-13.50177,-7.879017,-2.182043,-9.979688,-41.24639,-3.493499
m,122.1007,111.7492,116.4274,109.8784,97.81402,118.684,108.8323,138.9032,74.00879,167.18,0.7536,0.7536,171.3091,107.9931,39.43076,10.1089,17.46216,8.912183,1.767192,0.720273,1.432842,38.59418,7.080297,34.52104,5.220002,1454.402,-9.570382,0.025734,4.935618,4.862403,8.688368,-6.573428,-15.68601,-10.55775,-9.673493
f,215.4204,197.9867,228.6481,197.0385,188.685,250.9627,219.8374,256.1979,131.7104,293.2639,0.604879,0.807207,308.8549,165.8453,79.42587,-11.30837,-4.335388,-10.52003,-18.19558,0.734859,-16.85365,69.91656,-12.33061,8.253204,-9.14155,4711.787,0.162748,0.011931,-16.87141,-9.74992,-3.257451,4.127844,-4.662474,-34.0447,0.544135
m,113.4083,113.4083,109.5335,106.1827,91.03201,116.9218,94.44105,114.7017,70.63272,124.7751,0.742124,0.742124,129.8815,78.90292,34.27626,-0.130546,8.793114,1.233943,-8.323869,0.687948,-13.10645,33.46059,-5.437988,21.82901,-6.738796,1068.441,-14.24649,0.026174,-12.37581,-8.265755,0.483746,-16.91335,-22.36246,-26.09457,-13.18793
f,215.8322,206.9874,222.1079,206.184,195.3217,225.1313,219.0872,231.6326,170.1482,386.8004,0.843564,0.843564,366.0885,208.8446,76.29655,-24.22997,-14.57967,-26.21324,-35.58045,0.798633,-16.93971,61.58666,-34.56116,14.05129,-10.95517,3731.477,-3.085402,0.027279,-18.18405,-11.47525,-4.030156,-2.917055,-14.17108,-50.0225,-3.7347
f,185.8503,164.5268,184.2245,171.4162,155.5168,189.6777,209.74,209.3575,126.5863,219.1951,0.80497,0.80497,224.0046,173.7802,57.03574,3.731648,13.63917,5.107258,-6.0399,0.758294,-9.643785,49.33107,-6.894237,34.13451,-3.359591,2320.735,-3.462251,0.020627,-4.112057,-3.112013,2.08262,-3.135534,-9.822476,-31.38395,-3.885312
f,172.3238,166.2568,181.4931,168.703,158.268,178.1256,188.3273,188.9094,132.2065,260.0886,0.833481,0.833481,264.0733,168.9714,53.06116,-5.919447,3.955465,-5.166681,-14.22437,0.797894,-21.31869,52.77283,-6.994025,20.53292,-14.82146,2746.443,-2.753982,0.020482,-14.83897,-15.13235,-7.137424,-3.573518,-7.731627,-39.37365,-3.139058
m,134.9909,134.4643,136.1111,126.3712,105.1392,135.6533,135.3348,140.8472,85.77363,146.9963,0.764829,0.764829,147.653,95.7161,37.77303,5.366309,10.57175,5.24218,0.099486,0.704345,2.96246,36.6946,8.449693,23.7388,7.110836,1316.326,-10.69381,0.026987,8.03899,6.96006,10.43666,-12.62143,-16.95511,-14.22522,-9.588204
f,220.8148,195.8921,213.0158,204.5957,193.8383,233.3239,232.1083,233.2881,174.0986,291.9214,0.714905,0.872627,249.2457,231.0172,61.06311,-25.91377,-16.01481,-25.45905,-38.81273,0.831704,-12.90656,55.40237,-37.20254,13.82165,-6.289226,2604.794,7.488056,0.022631,-10.42763,-6.673821,-0.431459,-1.750732,-4.124557,-53.02631,7.517792
m,133.5961,125.0518,134.1579,122.2168,113.886,139.1911,132.7994,146.5156,92.97958,162.7307,0.797896,0.797896,168.0774,121.0702,39.23057,4.187377,9.94038,4.63827,-1.424497,0.758121,-6.826404,34.53108,2.760427,28.55398,-0.851397,1174.987,-0.720881,0.023838,-4.434155,-0.805047,3.932481,-8.172776,-6.050826,-20.65398,-0.18607
f,206.1798,193.972,209.3689,200.235,192.775,216.4092,199.1328,219.0859,190.0625,285.1513,0.851654,0.851654,292.9927,191.2345,62.60085,-11.37684,-1.143576,-10.07378,-21.82365,0.818186,-25.1784,48.06911,-8.352833,17.18577,-15.76802,2309.841,-2.710845,0.018028,-19.577,-15.92922,-5.971376,-3.304886,-7.957516,-40.73588,-2.187313
m,141.7375,130.2607,138.2472,134.6899,125.3016,146.0624,129.7818,145.6052,109.6481,165.474,0.791417,0.791417,168.9417,136.9703,38.55471,3.823455,11.32325,2.370699,-5.526797,0.743634,-11.73129,36.10096,-0.719029,38.97953,-5.754764,1257.21,-13.54224,0.029846,-10.72321,-4.670899,0.404873,-14.59617,-22.31763,-19.54888,-12.92146
m,100.9096,96.09436,99.57433,102.1371,95.32119,106.1709,86.92764,105.8257,96.74512,133.8192,0.763176,0.763176,137.8485,78.01425,29.50952,10.17882,18.58397,9.016686,1.663043,0.739649,-2.371464,24.1889,7.427775,35.49353,2.22699,484.2352,-9.419508,0.032631,3.525806,2.112842,6.791188,-10.59121,-15.14172,-13.56943,-8.500734
f,208.0254,202.9892,211.5871,193.4085,176.345,212.6862,227.1572,217.5208,138.7754,256.9675,0.843172,0.843172,260.0732,187.7918,65.77801,-12.24949,-2.672347,-12.01563,-20.79674,0.751594,-17.68671,58.0915,-15.94628,13.29022,-11.74763,3330.42,3.82813,0.020616,-15.63931,-12.12738,-5.512673,-0.007205,-1.042929,-40.24184,4.198555
f,262.2379,217.0977,259.7124,267.7937,243.5305,288.4622,271.9507,312.1957,211.1762,343.7522,0.876693,0.876693,350.6332,230.9588,73.78007,-5.267322,3.195618,-3.627495,-15.1412,0.811971,-14.96935,69.03921,-6.878827,20.74644,-7.779947,4713.157,-2.052986,0.016404,-8.79559,-8.059459,0.121229,1.446218,-7.369761,-32.37656,-1.975006
f,176.177,165.4125,173.6143,170.285,159.1666,181.8814,169.3971,181.3618,152.0282,230.791,0.392756,0.816841,254.5063,163.4814,48.42729,-13.54903,-7.183051,-12.45533,-20.40685,0.77673,-8.385741,41.52644,-17.77412,5.534761,-2.491643,1718.182,1.329682,0.0134,1.163336,-2.106577,3.774244,1.458752,-8.232235,-37.68456,0.73015
f,169.7032,132.5458,163.447,142.3035,139.1631,179.0117,179.639,192.4124,117.5701,202.8459,0.813418,0.813418,213.6901,160.0721,56.96864,-10.29774,-1.687945,-8.48702,-18.04424,0.760799,-6.563905,46.71746,-19.55448,7.461083,-2.557303,2032.906,4.091752,0.024225,-5.093947,-1.9579,1.843652,2.194318,-0.222201,-35.20629,4.072031
f,203.2376,185.4354,201.1497,192.358,187.4544,215.5152,223.4677,223.3548,157.3008,277.6703,0.847419,0.847419,281.8528,230.1616,62.18043,-13.89575,-7.374155,-13.18403,-20.43248,0.794308,-23.00547,51.47883,-19.50141,9.809667,-15.13435,2036.84,-6.632417,0.011177,-20.16295,-14.00441,-7.558522,-9.878352,-12.64418,-40.47352,-7.510873
m,133.6598,115.3489,133.2562,110.7703,113.9195,135.1517,120.6852,148.0094,104.4414,190.7678,0.563671,0.802084,213.7344,114.3046,40.68288,-4.175676,6.333095,-4.634382,-13.30977,0.754462,-1.34891,36.27245,-14.60386,22.80628,5.324668,1315.641,-14.95139,0.027266,7.610463,5.272232,10.92226,-18.0338,-23.77846,-32.54993,-14.70977
m,94.84896,92.83749,96.12762,93.04961,83.73537,104.4766,90.29385,102.3575,63.67336,114.276,0.762052,0.762052,114.965,83.42475,28.85303,1.852714,8.272643,1.806412,-5.167068,0.723278,-0.636263,26.0617,1.824068,22.31056,3.14694,679.1796,-4.250875,0.02865,1.539838,2.773751,6.602079,-2.366267,-11.73638,-15.75156,-3.479063
m,97.79002,93.13756,95.474,73.78249,73.58739,106.2818,88.5458,108.5429,38.56376,116.5044,0.758328,0.758328,117.9522,78.19467,29.12992,-1.362071,7.578571,-0.545581,-11.63431,0.701452,-4.841161,30.81059,1.252022,23.32502,-0.465177,942.0726,-4.126261,0.021897,-2.605088,0.15871,3.958303,-2.90041,-9.945395,-23.3046,-2.714107
m,91.64336,91.38314,92.55322,91.35565,82.1743,115.329,75.14845,103.6024,39.93603,125.5787,0.762994,0.762994,126.8808,74.2348,30.529,11.14705,17.0038,7.843732,1.873168,0.702131,-6.912483,35.41187,12.39882,49.07786,-1.816242,1232.596,-14.64905,0.020111,1.707243,-1.721819,2.570175,-18.26824,-22.34085,-9.382115,-13.71742
m,135.291,124.6837,134.0145,98.09648,96.06447,127.3801,133.9738,143.653,51.43105,152.1444,0.51982,0.770248,156.4928,104.0687,39.29209,-3.505457,3.159504,-4.425277,-11.61464,0.706531,-5.551373,38.14031,-6.958914,22.31155,-0.538089,1432.928,-2.282982,0.017084,-2.953553,-0.329679,4.015164,-3.391291,-8.419827,-19.88205,-1.539154
m,98.59975,94.66543,107.5648,93.84722,86.05164,102.7696,88.31776,108.0411,61.24461,161.909,0.792617,0.792617,167.0401,94.0166,38.65708,4.459802,11.80428,4.478944,-2.958819,0.726142,-6.002739,32.8102,7.12162,32.05982,-1.939171,1055.089,-5.401173,0.023127,-2.624583,-2.0098,2.747497,-8.359193,-11.94946,-17.59394,-5.767347
f,220.5295,207.6852,220.114,214.405,201.7018,231.7292,220.559,234.7312,193.0406,260.9864,0.846831,0.846831,264.3079,213.2371,70.36342,-17.58423,-7.758872,-16.7462,-25.448,0.806383,-19.80486,46.1022,-21.80604,8.22762,-13.47477,2080.646,-1.827029,0.017032,-18.00237,-13.86711,-7.033236,-1.335233,-8.642601,-50.65926,-2.378344
f,183.6923,161.0443,183.6918,178.4659,173.8677,205.4412,187.0657,203.3606,154.7011,236.8434,0.87403,0.87403,241.3154,192.9175,54.27911,-5.225624,5.599306,-6.628619,-15.47928,0.829957,-22.37807,41.94804,-19.92762,30.77994,-14.98276,1637.67,-6.022915,0.019095,-17.26665,-14.12755,-7.579719,-6.454091,-18.40082,-44.69437,-10.22624
m,85.1953,78.83139,90.67242,83.71571,82.17622,96.7746,61.71743,92.13988,67.59229,278.8507,0.763222,0.763222,227.5694,59.62259,52.48204,-13.06369,-2.567033,-12.66814,-21.71898,0.726598,-9.746698,37.46244,-21.59546,12.97392,-3.90426,1231.824,6.534168,0.031051,-6.179938,-3.430345,1.482039,11.0817,-3.420526,-50.50488,6.287605
m,143.555,135.832,139.6808,140.5953,125.5054,147.7137,128.1624,149.106,105.8419,158.1822,0.476306,0.806237,160.5045,122.5334,40.80443,-0.192721,7.746885,1.423951,-7.093443,0.777474,-7.371101,33.4609,-2.748944,22.65962,-2.678869,1116.663,-12.04401,0.024368,-5.038306,-2.374146,2.422547,-9.175635,-18.83836,-33.39146,-12.36934
f,233.4548,207.0697,228.8847,209.4211,204.5927,250.3321,265.3961,260.1649,178.9254,275.0225,0.855993,0.855993,279.0172,236.1066,71.36494,-14.58912,-5.811443,-14.9516,-23.96749,0.80559,-8.299536,57.0452,-27.15403,14.63526,-4.217711,2919.264,1.140531,0.016784,-5.883605,-3.107128,1.450724,-3.839706,-2.775411,-42.38391,2.022858
f,171.352,157.2643,183.3108,171.8842,171.0459,222.5146,217.3654,215.4121,152.6409,246.4754,0.829443,0.829443,247.7773,222.6874,54.22177,-20.17112,-10.44239,-20.79615,-29.70505,0.787586,-15.29987,57.86144,-27.46856,5.506774,-7.812522,2450.368,-5.514803,0.017392,-15.67216,-5.844368,0.145587,-15.76584,-14.84282,-48.05119,-5.237859
f,249.771,239.1321,246.8363,235.9866,205.3917,252.288,236.382,261.4055,169.2155,274.3423,0.834136,0.834136,284.4688,224.796,75.34586,-13.60328,-1.09207,-16.09205,-26.04058,0.785873,-12.28018,65.24937,-27.13538,19.15209,-5.083397,4130.468,-4.252849,0.022828,-12.16352,-6.484459,2.946205,-7.312419,-11.81787,-58.59865,-4.28069
m,124.7171,116.234,126.8575,119.0531,116.4399,138.4931,139.9677,140.9041,107.6768,153.6545,0.786138,0.786138,155.531,134.6187,40.05772,-0.002003,5.033125,-0.568467,-5.884827,0.755592,-0.517247,30.65036,0.623215,21.18141,4.811131,828.3271,-9.148034,0.027739,2.904809,5.223899,9.32275,-11.77412,-15.82236,-14.2104,-9.569387
f,215.3835,182.0292,209.2058,197.8817,189.6971,222.7516,176.0254,235.8183,174.19,245.29,0.832578,0.832578,256.5801,164.6781,50.54797,-2.011966,7.34897,-1.507327,-10.40835,0.785565,-18.5029,47.92929,2.333781,20.34084,-11.05219,2086.097,-7.617939,0.019291,-13.12202,-10.15218,-1.506183,-9.446382,-15.19237,-35.6365,-8.657407
m,133.7976,126.5084,136.4169,136.4159,126.4443,145.4388,139.2733,143.7341,117.2148,197.5707,0.801208,0.801208,205.8918,140.5491,50.76299,11.75249,18.85667,11.51277,4.56374,0.727458,-2.843001,40.25035,9.411846,39.56268,2.42516,1552.651,-11.89268,0.029128,3.715695,2.099359,7.482007,-8.811776,-23.91507,-14.60052,-11.19899
f,193.1451,186.1469,200.5421,187.5941,171.4817,206.8988,209.4873,214.998,134.7949,335.9753,0.645423,0.843707,286.4554,183.5908,63.77406,1.69762,8.312196,0.256153,-5.755291,0.780945,-14.61751,58.6566,-1.930749,24.06124,-10.083,3391.148,-6.365821,0.015685,-8.866311,-9.827944,-5.289191,-5.892829,-11.19503,-17.7186,-6.578959
m,151.4658,143.1353,153.7663,144.4796,128.5794,154.4927,143.4424,169.1114,97.34609,186.847,0.795596,0.795596,194.1092,136.8988,46.67162,-2.291259,5.136313,-0.166016,-8.897473,0.736075,-10.47315,44.06199,-0.336058,15.53506,-4.766715,1918.127,-5.287404,0.023255,-0.900747,-3.92108,0.815821,-4.208274,-11.47944,-32.00373,-4.554648
f,189.8311,179.9181,188.2265,184.707,173.5324,204.2569,193.7119,203.3561,173.3188,215.866,0.630851,0.848826,220.6543,194.8225,57.35915,-9.127466,-4.568476,-9.683517,-14.97055,0.80984,-17.6939,43.86318,-14.39944,12.41777,-13.51268,1771.133,-5.846672,0.015641,-13.32273,-12.58908,-7.922572,-9.088625,-11.59626,-25.30094,-6.194897
m,122.0499,115.9903,131.1296,116.4445,110.0437,134.0494,149.1799,139.2768,76.8131,218.2554,0.763744,0.763744,217.8646,140.9987,50.18396,9.586923,14.9206,9.473177,3.995993,0.706196,-2.416334,46.82481,5.379757,31.27098,1.297997,1867.131,-6.657748,0.022991,-5.161905,1.266844,6.596175,-14.43132,-14.45302,-18.94324,-6.545008
m,115.2377,100.3405,118.4866,107.5232,109.2171,141.1366,102.3526,140.9295,94.61797,166.4148,0.708788,0.78313,169.5848,97.62639,37.53304,5.392222,10.1538,4.166043,-1.031612,0.737868,-1.054366,36.24178,6.049067,27.54647,4.170509,1268.155,-0.882911,0.024791,4.949375,3.410222,8.308631,-5.282124,-8.515377,-9.277678,-1.336039
m,93.1723,87.63788,95.79855,87.23708,81.6037,102.5872,95.97636,106.323,61.70566,115.5472,0.771627,0.771627,117.839,84.10368,28.75976,6.551222,15.27772,6.439442,-0.740491,0.724791,5.361991,26.46992,15.62489,30.31407,14.33848,698.5482,-4.715652,0.031373,17.47467,13.80563,21.0759,3.803361,-15.76542,-17.72045,-5.321296
m,144.9721,133.7275,151.3652,134.316,131.8528,151.6372,162.3622,169.2082,125.5044,203.8447,0.810567,0.810567,201.447,136.2484,40.752,-3.15762,10.52482,-0.771584,-14.67918,0.774665,0.421471,33.80158,-3.255022,27.18063,7.641254,1136.052,-7.614027,0.033526,16.16751,10.10321,16.67653,-7.064272,-17.30832,-48.39214,-9.044253
m,125.3152,117.0837,136.6741,118.3596,120.6635,142.8254,147.8511,165.6527,113.1816,178.2581,0.809678,0.809678,179.684,133.0268,34.31863,-2.100931,2.298116,-1.385597,-6.781983,0.761403,-1.795353,35.96914,-6.362607,28.06334,4.046349,1242.266,-3.035131,0.02853,3.021312,3.66809,10.70862,-3.297121,-8.286526,-29.55074,-3.498906
m,121.7838,111.8789,124.3858,116.0793,108.0177,125.6639,121.1736,129.4746,90.31328,248.636,0.775198,0.775198,210.0888,122.5642,52.86679,7.506274,16.21476,7.839128,-0.987214,0.747131,0.577565,40.43115,9.32821,33.76681,5.792935,1563.406,-6.528723,0.02859,5.831997,5.252798,10.57326,-17.56239,-14.61056,-18.89486,-3.963557
f,195.0235,172.1944,196.8246,197.7698,196.6311,222.2312,187.6441,213.7252,174.144,269.2987,0.857828,0.857828,273.2251,191.4845,50.54641,-11.64108,-6.344173,-12.13973,-17.37584,0.824123,-2.535971,43.48316,-14.71873,14.95216,4.135271,1881.888,6.093448,0.013294,0.919302,5.540822,10.18012,10.15716,-3.035712,-32.46246,6.548667
f,136.3706,133.9597,143.7687,133.7747,126.5849,144.6167,140.5793,139.421,90.56942,197.6484,0.797926,0.797926,200.5801,106.9489,46.93375,-4.163462,3.502161,-4.137543,-12.50271,0.751362,-8.729955,45.64018,-7.838188,16.84757,-2.859175,1952.228,8.006165,0.016355,-6.564371,-3.39698,1.975701,11.29179,1.388883,-24.73568,7.499226
f,148.9604,148.9604,162.526,163.2291,157.9835,200.3558,197.3994,181.1171,134.365,233.1781,0.832936,0.832936,235.2335,191.5117,59.58599,-5.750741,3.952794,-5.326066,-16.42101,0.758964,-10.44932,51.62912,-15.2741,17.68554,-4.860878,2285.043,-1.834257,0.021302,-6.316257,-3.536468,1.197145,-9.516163,-13.59283,-30.61492,0.504202
m,166.7321,144.0272,158.8461,157.4126,143.9906,172.1844,182.114,172.187,119.2891,197.6311,0.812913,0.812913,200.4019,167.5939,49.36227,-9.289556,2.107198,-8.064813,-19.27603,0.779763,2.61833,38.6325,-12.28918,23.66579,8.365097,1304.961,-1.557055,0.04058,9.661589,8.470745,13.90881,-5.003721,-9.832924,-42.1115,-1.263712
f,182.3378,178.4562,189.5492,182.0376,175.9736,191.5145,187.3276,193.2295,174.4954,242.2051,0.846003,0.846003,244.0477,175.9661,50.78247,-9.670272,-2.740746,-10.62121,-16.93095,0.809965,-17.90246,39.10238,-3.833567,18.09112,-10.82744,1528.996,4.623347,0.012946,-13.31782,-11.22154,-5.167777,6.196283,-1.26168,-40.79097,4.190012
f,171.8439,161.8134,174.5698,165.2547,154.8272,181.0804,167.1616,183.3818,151.1776,218.5478,0.587068,0.811006,220.9424,154.4601,52.91843,-4.635955,3.646729,-5.776851,-13.48578,0.76999,-14.42021,43.21606,-8.883883,28.17597,-7.779248,1867.583,-12.43035,0.014866,-5.068508,-6.027334,-0.822804,-7.786408,-20.57099,-28.15339,-12.48233
f,184.4074,167.6214,186.4359,169.2358,166.1079,195.2771,220.8777,201.4514,140.6079,269.0298,0.432249,0.843559,272.098,199.8668,52.45752,-22.07057,-11.7346,-19.81318,-32.18053,0.805847,-22.1547,51.5315,-26.44682,2.053719,-13.97437,2272.651,4.907185,0.02095,-16.8264,-13.2152,-6.064043,2.011789,-1.732711,-50.78808,5.390682
