@relation SMILEfeatures

@attribute sexo {m,f}
@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute F0final_sma_linregc2 numeric
@attribute F0final_sma_de_percentile99.0 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_quartile3 numeric
@attribute mfcc_sma[11]_quartile2 numeric
@attribute mfcc_sma[11]_quartile1 numeric
@attribute voicingFinalUnclipped_sma_quartile3 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute F0final_sma_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_amean numeric
@attribute F0final_sma_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[14]_linregc2 numeric
@attribute mfcc_sma[14]_quartile2 numeric
@attribute mfcc_sma[14]_quartile3 numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute mfcc_sma[12]_quartile2 numeric

@data
m,131.3409,116.4946,115.2767,124.7306,115.8779,136.0428,63.48807,139.8316,98.40144,194.2267,0.603311,0.801099,177.7303,119.7286,42.21727,-5.747756,2.781914,-5.899951,-13.30613,0.744897,-15.88251,34.33364,-5.751496,25.87314,-8.477141,1173.798,-12.6226,0.024756,-3.655317,-8.858145,-0.921053,-12.98932,-19.10853,-35.10955,-13.61618
m,111.7435,108.9188,101.7838,108.2226,99.55043,121.3719,63.03957,117.0244,78.05255,147.6724,0.761243,0.761243,153.071,99.16779,33.94851,4.285068,11.32898,5.275631,-2.87839,0.716396,-6.516257,32.16051,3.19695,25.3039,-1.986411,1034.249,-13.71212,0.019643,2.8378,-1.367886,3.523531,-17.22843,-21.83012,-16.13668,-12.8946
m,117.4813,109.4871,121.6413,118.4644,115.1577,141.1564,124.1347,131.0422,102.2365,161.9189,0.788585,0.788585,164.2471,119.1984,36.17281,-5.327617,4.769482,-5.451419,-16.52308,0.747827,-9.034323,34.8446,0.343357,26.47517,-3.500081,1208.641,1.831336,0.028908,-5.475047,-3.69828,1.861416,-2.756318,-6.578707,-36.38848,2.232258
m,114.4408,111.1857,114.86,113.3975,109.8883,120.2395,95.70848,120.7951,109.4091,148.4928,0.796873,0.796873,152.7852,98.24946,36.25299,-1.329763,7.884486,-1.339304,-11.56234,0.759525,-11.96568,23.91714,-0.398,37.64577,-6.719564,526.5168,-13.62876,0.024557,-6.707015,-7.129223,-0.352406,-21.17453,-23.46234,-35.21191,-12.96823
m,142.0715,104.1776,119.2356,138.1774,114.9689,157.0079,89.03407,157.0974,67.16882,192.1165,0.778139,0.778139,192.6689,153.0621,45.34467,2.906637,11.07593,3.453445,-4.853893,0.712921,-5.65773,49.65141,7.802867,20.96809,-0.782242,1973.827,-0.812478,0.020463,1.162107,-1.530806,3.558756,-2.453228,-5.825189,-25.43435,0.369653
f,209.9894,173.8946,196.8598,182.4097,164.5337,213.7868,240.0691,221.4999,124.7911,238.6538,0.832374,0.832374,242.4664,213.9085,63.10069,-6.675358,0.809593,-7.094881,-13.15091,0.756959,-16.16901,59.13002,-7.729622,11.19412,-10.40749,2674.12,4.302838,0.009208,-12.74169,-11.25517,-4.859522,-1.273538,-4.273558,-28.43036,3.643464
m,134.1597,124.5535,137.3425,124.8666,115.8052,137.4661,149.3458,144.3372,92.08979,181.0074,0.695589,0.790768,184.3436,112.3806,43.54914,4.76408,8.167629,4.30817,1.229276,0.751296,0.052526,38.36094,3.017724,19.38212,4.550163,1467.609,-8.34216,0.031845,4.126843,4.822418,9.414223,-8.390163,-14.45769,-8.871879,-7.814392
f,225.3304,189.584,212.1214,226.659,203.0313,238.4793,248.8351,236.0596,178.611,259.9258,0.537265,0.877047,266.0791,252.3892,61.2581,-15.46739,-4.04342,-14.56588,-24.80418,0.824802,-15.12848,51.86089,-31.57824,14.67879,-9.903654,1870.266,-5.782156,0.017393,-12.93031,-9.135048,-5.139338,-9.65437,-11.96251,-48.61126,-6.231477
m,133.9714,120.2201,128.7601,122.0181,112.137,134.9013,142.3036,139.1694,96.90112,161.4037,0.791329,0.791329,159.3292,131.8753,41.89985,1.587164,8.34622,1.256449,-6.236403,0.757374,-2.502248,32.33595,-1.677301,28.17044,3.070992,914.5501,-0.872357,0.02,4.137658,2.421868,7.790597,-4.95446,-9.571246,-18.83331,-1.938308
m,128.9546,118.7515,121.8387,123.3663,119.5717,140.7294,101.7173,139.0486,110.4877,147.7384,0.79112,0.79112,150.4944,115.5504,38.79986,-2.077799,6.09167,-0.71773,-12.54819,0.757559,-14.89915,28.31589,-4.801577,25.77543,-8.168287,796.34,-8.154508,0.023329,-8.791954,-8.101242,-1.018946,-10.2653,-13.59908,-24.04927,-7.614521
